route_no,from,to,route
83D,Bandireddy Circle,K.R.MARKET,"Townhall, Corporation, Mysuru Bank, Railway Station, Okalipuram, Sunrise Circle, Gandhi School, Bandireddy Circle"
86E,Jayanagar 9th Block,K.H.B.Colony,"Jayanagar 4th block, Kempegowda Bus Station, Magadi Road"
87,KBS (Majestic),Hampinagar,"Okallipuram, Magadi Road, Prasanna, Tollgate, Pipe Line, Railway Gate"
88,KBS (Majestic),Basaveshwara Nagar,"Sujatha, Ram Mandir"
88A,KBS (Majestic),Basaveshwara Nagar 3rd Stage,Sujatha
88E,K R Market,Basaveshwara Nagar 3rd Stage,"Sujatha, KBS (Majestic)"
89,KBS (Majestic),Kurubarahalli,
89B,KBS (Majestic),Geleyera Balaga Layout,
89C,KBS (Majestic),Kurubarahalli,
90,KBS (Majestic),Yeshwantpur,
90E,KBS (Majestic),Yeshwantpur Railway Station,
94,Shivajinagar,Yeshwantpur,
95,Shivajinagar,Kamalanagar BEML Layout,
95A,K. R. Market,Kamalanagar BEML Layout,
95B,K. R. Market,Kamalanagar,
96,KBS(Majestic),KBS(Majestic),"central, Malleshwaram, Rajajinagar, Modi Hospital, Basaweshwaranagar, Sujatha"
96A,KBS(Majestic),KBS(Majestic),"Sujatha, Basaveshwaranagar, Modi Hospital, Rajajinagar, Malleshwaram, Central"
96B,KBS(Majestic),Kamalanagar BEML Layout,"Sujatha, Basaveshwaranagar"
96C,KBS (Majestic),Kamalanagar,"Sujatha,Ram Mandir, Basaveshwarnagar"
96D,KBS (Majestic),Kamalanagar,"Central, Devaiah Park, Modi Hospital"
96F,KBS(Majestic),Bhimjyoti Nagar,Modi Hospital(Basaveshwarnagar)
99E,KBS (Majestic),Chowdeshwari / JP Park Bus Station,
100,Shivajinagar,Sadashivanagar,"Indian Express, Cantonment Railway Station, Vasanthnagar, Cauvery Theatre"
100E,Sadashivanagar,BTM Layout (Kuvempunagar),"Mount Carmel, Shivajinagar, Shantinagar, Adugodi, Koramangla"
104,Sadashivanagar,KBS (Majestic),"Sadashivanagar, Guttahalli Main ROad, Link Road, Central"
107D,RT Nagar,JP Nagar 3rd Phase,"Shivajinagar, Jayanagar 4th Block"
108B,KBS (Majestic),Ganganagar,
111,K. R. Market,Kaval Byrasandra,
111C,KBS (Majestic),Kaval Byrasandra,
112E,Kaval Byrasandra,BTM Layout,"Indian Express, Richmond Cirlce, Koramangala"
115A,Kaval Byrasandra,Kamalanagar,"CBI, Shankar Mutt"
114E,SultanPalya,Banashankari,"Indian Express, Corporation, KR Market"
115,KBS(Majestic),Ananda Nagar,"RT Nagar, Matadahalli, KG road"
119A,KBS(Majestic),Chinnapa Garden,KG Road
124,KBS(Majestic),Chinnapa Garden,"CQAL, Borebank Road"
131,KBS(Majestic),Domlur Bus Station,"100�ft Road Indiranagar, Ulsoor"
131F,KBS(Majestic),Domlur Bus Station,"100�ft Road Indiranagar, Ulsoor"
137,Yeshvantapur,Domlur,"Malleshwaram, Mount Carmel, Indian Express, Ulsoor, Indiranagar"
137A,Yeshvanthpur,Jeevan Bhima Nagar,"Malleshwaram, Mount Carmel, Indian Express, Ulsoor, Indiranagar"
138,Kempegowda Bus Station,Jeevan Bhima Nagar,"Corporation, Residency Road, MG Road, Ulsoor, Indiranagar, Thippasandra Cross"
138D,Kempegowda Bus Station,Jeevan Bhima Nagar,"Vidhana Soudha, Shivajinagar, Ulsoor, Indiranagar, Thippasandra Cross"
139,Shivajinagar,Jeevan Bhima Nagar,"Ulsoor, Indiranagar, Thippasandra Cross"
141A,Shivaji Nagar,Koramangala Bus Depot,
141E,Shivajinagar,Ejipura,
144G,Sultanpalya,Rose Garden Viveknagar,Shivajinagar
144H,Nandini Layout,Neelasandra,"Yeshvantapur, Mekhri Circle, Shivajinagar"
144K,Kaval Byrasandra,Rose Garden,Shivajinagar
162A,KBS (Majestic),Madivala,"Jayanagar 4th Block, BTM Layout, Silk Board"
171,Koramangala,Kempegowda Bus Station (Majestic),"Wilson Garden, Shanthinagar"
171B,Koramangala 8th Block,Kempegowda Bus Station (Majestic),"Wilson Garden, Shanthinagar"
171C,Koramangala Kendriya Sadana,Kempegowda Bus Station (Majestic),"Wilson Garden, Shanthinagar"
171E,Koramangala 1st Block,Kamalanagar BEML Layout,"Wilson Garden, Shanthinagar, KBS (Majestic)"
171F,"National Games Village, Koramangala",Kempegowda Bus Station (Majestic),"Wilson Garden, Shanthinagar"
171G,Koramangala 1st Block,Kempegowda Bus Station (Majestic),"Maharaja Signal, Wilson Garden, Shanthinagar"
171H,"National Games Village, Koramangala",Kempegowda Bus Station (Majestic),"Wilson Garden, Shanthinagar"
171J,Koramangala 1st Block,Kempegowda Bus Station (Majestic),"Wilson Garden, Shanthinagar"
173,Yeshvantapur,Koramangala,"Kempegowda Bus Station, Shantinagar"
173A,Mathikere,Koramangala,
174,Koramangla,Nandini Layout,"Wilson Garden, Majestic"
176,Kaval Byrasandra,Hampinagar,"Mekhri Circle, Vyalikaval, Malleshwaram Circle, Navarang, Vijayanagar, Maruthi Mandir"
180,KHB Colony,Kaval Byrasandra,"Mekhri Circle, Yeshvantapur"
181,Bhima Jyoti Nagar,Jayanagar 9th block,"Magadi Road, KR Market, Lalbagh West Gate, Jayanagar 4th Block"
186,Nandini Layout,Sultan Palya,"Vyalikaval, Malleshwaram Circle"
188,Hosakerahalli,Mathikere,"Hanumanthanagar, Town Hall, Malleshwaram"
188B,Chennamanakere Achukattu,Chowdeshwarinagara,"Hanumanthanagar, JC Road, Town Hall, Majestic, Malleshwaram"
189,JP Nagar�3rd phase,Mahalakshmi Layout,"via�Majestic,�Malleshwaram Circle"
190,Srinagar,Jeevan Bhima Nagar,"via Hanumanthanagar, Ramakrishna Ashram,�Lalbagh, Richmond circle, Ulsoor, Indiranagar"
190A,Avalahalli BDA Park,Jeevan Bhima Nagar via 190,
197,Jeevan Bhima Nagar,Sultan Palya,"via Indiranagar, Ulsoor, Shivajinagar, Cantonment Railway Station, JC Nagar,�RT Nagar"
201,Domlur,Srinagar,"Indiranagar, Ulsoor, Austin Town, Vivek Nagar, Kormangala 100�ft Road, Madivala, Silk Board, Banashankari, Katriguppe, Hosakerehalli Cross, Srinivasanagar"
201D,Indiranagar,Madivala Mosque,"Indiranagar 100�ft Road, Domlur Layout, Inner Ring Road, Kormangala"
201G,Jeevanbheemanagar,Banashankari,"Thippasandra Cross, CMH Road, Indiranagar 100�ft Road, Domlur Layout, Inner Ring Road, Kormangala, Madivala, Silk Board, BTM Layout, Jayanagar 5th Block"
